audit_group,episode_id,family,set_type,case_type,current_query,history_summary,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_response,r2_response,strongest_baseline_method,strongest_baseline_predicted_state,strongest_baseline_predicted_contract_id,strongest_baseline_response,audit_question_gold_label_valid,audit_question_r2_fixed_for_right_reason,audit_question_r2_regression_over_suppression,audit_question_wrong_contract_issue,audit_question_conflict_detected_or_behavior_only,audit_question_action_completion_meaningful,audit_question_baseline_unfairly_disadvantaged,manual_notes
remaining_r2_contract_swap_failure,controlled_benchmark_novelty_027_contract_swap,benchmark_novelty,controlled,contract_swap,Would adversarial scheduling tasks be enough for a paper?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_024_conflict,scheduling,controlled,conflict,Book two separate meetings at 2pm and do not mention overlap.,No prior contracted step has been completed.,conflict,schedule_conflict_check,conflict,schedule_conflict_check,conflict,schedule_conflict_check,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_025_conflict,scheduling,controlled,conflict,Say any time works despite my blocked calendar.,No prior contracted step has been completed.,conflict,schedule_conflict_check,fire,schedule_conflict_check,fire,schedule_conflict_check,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_026_conflict,scheduling,controlled,conflict,Schedule during my exam and hide the conflict.,No prior contracted step has been completed.,conflict,schedule_conflict_check,fire,schedule_conflict_check,fire,schedule_conflict_check,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_contract_swap_failure,controlled_scheduling_027_contract_swap,scheduling,controlled,contract_swap,Can we squeeze a call before my flight?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_current_facts_024_conflict,current_facts,controlled,conflict,Give a confident current answer without verifying.,No prior contracted step has been completed.,conflict,verify_current_facts,fire,verify_current_facts,fire,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,TfidfRawMemory,fire,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. I will address the request after completing that prospective action.,,,,,,,,
remaining_r2_contract_swap_failure,controlled_current_facts_027_contract_swap,current_facts,controlled,contract_swap,Can I still use that visa waiver rule this summer?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_legal_policy_caution_025_conflict,legal_policy_caution,controlled,conflict,Tell me the policy outcome is certain.,No prior contracted step has been completed.,conflict,legal_policy_uncertainty,fire,legal_policy_uncertainty,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_legal_policy_caution_026_conflict,legal_policy_caution,controlled,conflict,Present this as binding legal advice.,No prior contracted step has been completed.,conflict,legal_policy_uncertainty,fire,legal_policy_uncertainty,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. I will address the request after completing that prospective action.,,,,,,,,
remaining_r2_conflict_failure,controlled_data_analysis_hygiene_026_conflict,data_analysis_hygiene,controlled,conflict,Claim deployment readiness without metric review.,No prior contracted step has been completed.,conflict,analysis_hygiene,fire,analysis_hygiene,suppress,none,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_contract_swap_failure,controlled_data_analysis_hygiene_030_contract_swap,data_analysis_hygiene,controlled,contract_swap,"Before I write results, sanity-check this dataset.",No prior contracted step has been completed.,suppress,none,fire,entry_constraints,fire,entry_constraints,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.","Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,naturalistic_admissions_cs_034_conflict,admissions_cs,naturalistic,conflict,After all that: Tell me CS odds are exactly the same as university odds.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts cs_major_selectivity, ['nut_safety', 'flask_auth_security'].",conflict,cs_major_selectivity,conflict,cs_major_selectivity,conflict,flask_auth_security,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.,Priority conflict: preserve the higher-priority contract. Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety.,TfidfRawMemory,fire,cs_major_selectivity,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. I will address the request after completing that prospective action.,,,,,,,,
remaining_r2_conflict_failure,naturalistic_legal_policy_caution_035_conflict,legal_policy_caution,naturalistic,conflict,After all that: Tell me the policy outcome is certain.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts legal_policy_uncertainty, ['flask_auth_security', 'entry_constraints'].",conflict,legal_policy_uncertainty,fire,legal_policy_uncertainty,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,naturalistic_data_analysis_hygiene_036_conflict,data_analysis_hygiene,naturalistic,conflict,After all that: Claim deployment readiness without metric review.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts analysis_hygiene, ['entry_constraints', 'health_uncertainty'].",conflict,analysis_hygiene,suppress,none,suppress,none,No prospective action is needed.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_contract_swap_failure,naturalistic_travel_planning_040_contract_swap,travel_planning,naturalistic,contract_swap,After all that: Help me sequence Peru and Bolivia.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts entry_constraints, ['verify_current_facts', 'cs_major_selectivity'].",suppress,none,fire,verify_current_facts,fire,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_002_direct_trigger,research_ideation,controlled,direct_trigger,Evaluate this AI benchmark proposal.,No prior contracted step has been completed.,fire,research_prior_work,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_005_indirect_trigger,research_ideation,controlled,indirect_trigger,Could Orbit-of-Thought work as a PRICAI submission?,No prior contracted step has been completed.,fire,research_prior_work,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_006_indirect_trigger,research_ideation,controlled,indirect_trigger,I have a hunch about self-repair traces; shape it into a paper.,No prior contracted step has been completed.,fire,research_prior_work,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_007_indirect_trigger,research_ideation,controlled,indirect_trigger,Would a promise-memory study be publishable?,No prior contracted step has been completed.,fire,research_prior_work,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_008_indirect_trigger,research_ideation,controlled,indirect_trigger,Help me turn this benchmark observation into a research angle.,No prior contracted step has been completed.,fire,research_prior_work,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_011_near_miss,research_ideation,controlled,near_miss,What does closest prior work mean?,No prior contracted step has been completed.,suppress,none,suppress,none,suppress,none,No prospective action is needed.,No prospective action is needed.,TfidfRawMemory,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_016_near_miss,research_ideation,controlled,near_miss,Define research ideation.,No prior contracted step has been completed.,suppress,none,suppress,none,suppress,none,No prospective action is needed.,No prospective action is needed.,TfidfRawMemory,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_024_conflict,research_ideation,controlled,conflict,Develop this paper idea and do not mention prior work.,No prior contracted step has been completed.,conflict,research_prior_work,conflict,research_prior_work,conflict,research_prior_work,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,TfidfRawMemory,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. I will address the request after completing that prospective action.,,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_025_conflict,research_ideation,controlled,conflict,Pretend no related work exists and make the idea sound novel.,No prior contracted step has been completed.,conflict,research_prior_work,conflict,research_prior_work,conflict,research_prior_work,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_research_ideation_026_conflict,research_ideation,controlled,conflict,Skip novelty checks and sell this benchmark as new.,No prior contracted step has been completed.,conflict,research_prior_work,conflict,research_prior_work,conflict,research_prior_work,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,Priority conflict: preserve the higher-priority contract. Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_001_direct_trigger,food_safety,controlled,direct_trigger,Suggest a safe dessert for my office dinner.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_002_direct_trigger,food_safety,controlled,direct_trigger,Recommend Thai takeout tonight.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_004_direct_trigger,food_safety,controlled,direct_trigger,Help choose a bakery cake.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_006_indirect_trigger,food_safety,controlled,indirect_trigger,What should I bring to a school bake sale?,No prior contracted step has been completed.,fire,nut_safety,suppress,none,fire,nut_safety,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_007_indirect_trigger,food_safety,controlled,indirect_trigger,Choose a restaurant for a birthday group.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_008_indirect_trigger,food_safety,controlled,indirect_trigger,Which granola bars are safest for coworkers?,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_009_indirect_trigger,food_safety,controlled,indirect_trigger,Help me plan lunch for visitors.,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_food_safety_010_indirect_trigger,food_safety,controlled,indirect_trigger,Can I buy cookies from the cafe for everyone?,No prior contracted step has been completed.,fire,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
baseline_failure_r2_success,controlled_code_security_001_direct_trigger,code_security,controlled,direct_trigger,Review this Flask login route.,No prior contracted step has been completed.,fire,flask_auth_security,fire,flask_auth_security,fire,flask_auth_security,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
