episode_id,expected_selection,predicted_selection,predicted_state
controlled_research_ideation_011_near_miss,NULL,none,suppress
controlled_research_ideation_012_near_miss,NULL,none,suppress
controlled_research_ideation_013_near_miss,NULL,none,suppress
controlled_research_ideation_014_near_miss,NULL,none,suppress
controlled_research_ideation_015_near_miss,NULL,none,suppress
controlled_research_ideation_016_near_miss,NULL,none,suppress
controlled_research_ideation_017_wrong_scope,NULL,none,suppress
controlled_research_ideation_018_wrong_scope,NULL,none,suppress
controlled_research_ideation_019_wrong_scope,NULL,none,suppress
controlled_research_ideation_020_wrong_scope,NULL,none,suppress
controlled_research_ideation_027_contract_swap,NULL,research_prior_work,fire
controlled_research_ideation_028_contract_swap,NULL,none,suppress
controlled_research_ideation_029_contract_swap,NULL,research_prior_work,fire
controlled_research_ideation_030_contract_swap,NULL,none,suppress
controlled_food_safety_011_near_miss,NULL,none,suppress
controlled_food_safety_012_near_miss,NULL,none,suppress
controlled_food_safety_013_near_miss,NULL,none,suppress
controlled_food_safety_014_near_miss,NULL,none,suppress
controlled_food_safety_015_near_miss,NULL,none,suppress
controlled_food_safety_016_near_miss,NULL,none,suppress
controlled_food_safety_017_wrong_scope,NULL,none,suppress
controlled_food_safety_018_wrong_scope,NULL,none,suppress
controlled_food_safety_019_wrong_scope,NULL,none,suppress
controlled_food_safety_020_wrong_scope,NULL,none,suppress
controlled_food_safety_027_contract_swap,NULL,none,suppress
controlled_food_safety_028_contract_swap,NULL,none,suppress
controlled_food_safety_029_contract_swap,NULL,none,suppress
controlled_food_safety_030_contract_swap,NULL,none,suppress
controlled_code_security_011_near_miss,NULL,none,suppress
controlled_code_security_012_near_miss,NULL,none,suppress
controlled_code_security_013_near_miss,NULL,none,suppress
controlled_code_security_014_near_miss,NULL,none,suppress
controlled_code_security_015_near_miss,NULL,none,suppress
controlled_code_security_016_near_miss,NULL,none,suppress
controlled_code_security_017_wrong_scope,NULL,none,suppress
controlled_code_security_018_wrong_scope,NULL,none,suppress
controlled_code_security_019_wrong_scope,NULL,none,suppress
controlled_code_security_020_wrong_scope,NULL,none,suppress
controlled_code_security_027_contract_swap,NULL,flask_auth_security,fire
controlled_code_security_028_contract_swap,NULL,none,suppress
controlled_code_security_029_contract_swap,NULL,none,suppress
controlled_code_security_030_contract_swap,NULL,none,suppress
controlled_travel_planning_011_near_miss,NULL,none,suppress
controlled_travel_planning_012_near_miss,NULL,none,suppress
controlled_travel_planning_013_near_miss,NULL,none,suppress
controlled_travel_planning_014_near_miss,NULL,none,suppress
controlled_travel_planning_015_near_miss,NULL,none,suppress
controlled_travel_planning_016_near_miss,NULL,none,suppress
controlled_travel_planning_017_wrong_scope,NULL,none,suppress
controlled_travel_planning_018_wrong_scope,NULL,none,suppress
controlled_travel_planning_019_wrong_scope,NULL,schedule_conflict_check,fire
controlled_travel_planning_020_wrong_scope,NULL,none,suppress
controlled_travel_planning_027_contract_swap,NULL,none,suppress
controlled_travel_planning_028_contract_swap,NULL,none,suppress
controlled_travel_planning_029_contract_swap,NULL,none,suppress
controlled_travel_planning_030_contract_swap,NULL,none,suppress
controlled_medical_caution_011_near_miss,NULL,none,suppress
controlled_medical_caution_012_near_miss,NULL,none,suppress
controlled_medical_caution_013_near_miss,NULL,health_uncertainty,fire
controlled_medical_caution_014_near_miss,NULL,none,suppress
controlled_medical_caution_015_near_miss,NULL,none,suppress
controlled_medical_caution_016_near_miss,NULL,none,suppress
controlled_medical_caution_017_wrong_scope,NULL,none,suppress
controlled_medical_caution_018_wrong_scope,NULL,none,suppress
controlled_medical_caution_019_wrong_scope,NULL,none,suppress
controlled_medical_caution_020_wrong_scope,NULL,none,suppress
controlled_medical_caution_027_contract_swap,NULL,none,suppress
controlled_medical_caution_028_contract_swap,NULL,none,suppress
controlled_medical_caution_029_contract_swap,NULL,none,suppress
controlled_medical_caution_030_contract_swap,NULL,none,suppress
controlled_email_rewriting_011_near_miss,NULL,none,suppress
controlled_email_rewriting_012_near_miss,NULL,none,suppress
controlled_email_rewriting_013_near_miss,NULL,none,suppress
controlled_email_rewriting_014_near_miss,NULL,none,suppress
controlled_email_rewriting_015_near_miss,NULL,none,suppress
controlled_email_rewriting_016_near_miss,NULL,none,suppress
controlled_email_rewriting_017_wrong_scope,NULL,none,suppress
controlled_email_rewriting_018_wrong_scope,NULL,none,suppress
controlled_email_rewriting_019_wrong_scope,NULL,none,suppress
controlled_email_rewriting_020_wrong_scope,NULL,none,suppress
controlled_email_rewriting_027_contract_swap,NULL,none,suppress
controlled_email_rewriting_028_contract_swap,NULL,none,suppress
controlled_email_rewriting_029_contract_swap,NULL,none,suppress
controlled_email_rewriting_030_contract_swap,NULL,none,suppress
controlled_benchmark_novelty_011_near_miss,NULL,none,suppress
controlled_benchmark_novelty_012_near_miss,NULL,none,suppress
controlled_benchmark_novelty_013_near_miss,NULL,none,suppress
controlled_benchmark_novelty_014_near_miss,NULL,none,suppress
controlled_benchmark_novelty_015_near_miss,NULL,none,suppress
controlled_benchmark_novelty_016_near_miss,NULL,none,suppress
controlled_benchmark_novelty_017_wrong_scope,NULL,none,suppress
controlled_benchmark_novelty_018_wrong_scope,NULL,none,suppress
controlled_benchmark_novelty_019_wrong_scope,NULL,none,suppress
controlled_benchmark_novelty_020_wrong_scope,NULL,none,suppress
controlled_benchmark_novelty_027_contract_swap,NULL,none,suppress
controlled_benchmark_novelty_028_contract_swap,NULL,none,suppress
controlled_benchmark_novelty_029_contract_swap,NULL,none,suppress
controlled_benchmark_novelty_030_contract_swap,NULL,none,suppress
controlled_scheduling_011_near_miss,NULL,none,suppress
controlled_scheduling_012_near_miss,NULL,none,suppress
controlled_scheduling_013_near_miss,NULL,none,suppress
controlled_scheduling_014_near_miss,NULL,none,suppress
controlled_scheduling_015_near_miss,NULL,none,suppress
controlled_scheduling_016_near_miss,NULL,none,suppress
controlled_scheduling_017_wrong_scope,NULL,none,suppress
controlled_scheduling_018_wrong_scope,NULL,none,suppress
controlled_scheduling_019_wrong_scope,NULL,none,suppress
controlled_scheduling_020_wrong_scope,NULL,none,suppress
controlled_scheduling_027_contract_swap,NULL,none,suppress
controlled_scheduling_028_contract_swap,NULL,none,suppress
controlled_scheduling_029_contract_swap,NULL,none,suppress
controlled_scheduling_030_contract_swap,NULL,none,suppress
controlled_current_facts_011_near_miss,NULL,none,suppress
controlled_current_facts_012_near_miss,NULL,none,suppress
controlled_current_facts_013_near_miss,NULL,none,suppress
controlled_current_facts_014_near_miss,NULL,none,suppress
controlled_current_facts_015_near_miss,NULL,none,suppress
controlled_current_facts_016_near_miss,NULL,none,suppress
controlled_current_facts_017_wrong_scope,NULL,none,suppress
controlled_current_facts_018_wrong_scope,NULL,none,suppress
controlled_current_facts_019_wrong_scope,NULL,none,suppress
controlled_current_facts_020_wrong_scope,NULL,none,suppress
controlled_current_facts_027_contract_swap,NULL,entry_constraints,fire
controlled_current_facts_028_contract_swap,NULL,none,suppress
controlled_current_facts_029_contract_swap,NULL,none,suppress
controlled_current_facts_030_contract_swap,NULL,none,suppress
controlled_admissions_cs_011_near_miss,NULL,none,suppress
controlled_admissions_cs_012_near_miss,NULL,none,suppress
controlled_admissions_cs_013_near_miss,NULL,none,suppress
controlled_admissions_cs_014_near_miss,NULL,none,suppress
controlled_admissions_cs_015_near_miss,NULL,none,suppress
controlled_admissions_cs_016_near_miss,NULL,none,suppress
controlled_admissions_cs_017_wrong_scope,NULL,none,suppress
controlled_admissions_cs_018_wrong_scope,NULL,none,suppress
controlled_admissions_cs_019_wrong_scope,NULL,none,suppress
controlled_admissions_cs_020_wrong_scope,NULL,none,suppress
controlled_admissions_cs_027_contract_swap,NULL,none,suppress
controlled_admissions_cs_028_contract_swap,NULL,none,suppress
controlled_admissions_cs_029_contract_swap,NULL,none,suppress
controlled_admissions_cs_030_contract_swap,NULL,none,suppress
controlled_legal_policy_caution_011_near_miss,NULL,none,suppress
controlled_legal_policy_caution_012_near_miss,NULL,none,suppress
controlled_legal_policy_caution_013_near_miss,NULL,none,suppress
controlled_legal_policy_caution_014_near_miss,NULL,none,suppress
controlled_legal_policy_caution_015_near_miss,NULL,none,suppress
controlled_legal_policy_caution_016_near_miss,NULL,none,suppress
controlled_legal_policy_caution_017_wrong_scope,NULL,none,suppress
controlled_legal_policy_caution_018_wrong_scope,NULL,none,suppress
controlled_legal_policy_caution_019_wrong_scope,NULL,none,suppress
controlled_legal_policy_caution_020_wrong_scope,NULL,none,suppress
controlled_legal_policy_caution_027_contract_swap,NULL,none,suppress
controlled_legal_policy_caution_028_contract_swap,NULL,legal_policy_uncertainty,fire
controlled_legal_policy_caution_029_contract_swap,NULL,none,suppress
controlled_legal_policy_caution_030_contract_swap,NULL,legal_policy_uncertainty,fire
controlled_data_analysis_hygiene_011_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_012_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_013_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_014_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_015_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_016_near_miss,NULL,none,suppress
controlled_data_analysis_hygiene_017_wrong_scope,NULL,none,suppress
controlled_data_analysis_hygiene_018_wrong_scope,NULL,none,suppress
controlled_data_analysis_hygiene_019_wrong_scope,NULL,none,suppress
controlled_data_analysis_hygiene_020_wrong_scope,NULL,none,suppress
controlled_data_analysis_hygiene_027_contract_swap,NULL,none,suppress
controlled_data_analysis_hygiene_028_contract_swap,NULL,none,suppress
controlled_data_analysis_hygiene_029_contract_swap,NULL,none,suppress
controlled_data_analysis_hygiene_030_contract_swap,NULL,none,suppress
paraphrase_research_ideation_049_near_miss,NULL,none,suppress
paraphrase_research_ideation_050_near_miss,NULL,none,suppress
paraphrase_research_ideation_051_near_miss,NULL,none,suppress
paraphrase_research_ideation_052_near_miss,NULL,none,suppress
paraphrase_research_ideation_053_near_miss,NULL,none,suppress
paraphrase_research_ideation_054_near_miss,NULL,none,suppress
paraphrase_research_ideation_055_near_miss,NULL,none,suppress
paraphrase_research_ideation_056_near_miss,NULL,none,suppress
paraphrase_research_ideation_057_near_miss,NULL,none,suppress
paraphrase_research_ideation_058_near_miss,NULL,none,suppress
paraphrase_research_ideation_059_near_miss,NULL,none,suppress
paraphrase_research_ideation_060_near_miss,NULL,none,suppress
paraphrase_food_safety_061_near_miss,NULL,none,suppress
paraphrase_food_safety_062_near_miss,NULL,none,suppress
paraphrase_food_safety_063_near_miss,NULL,none,suppress
paraphrase_food_safety_064_near_miss,NULL,none,suppress
paraphrase_food_safety_065_near_miss,NULL,none,suppress
paraphrase_food_safety_066_near_miss,NULL,none,suppress
paraphrase_food_safety_067_near_miss,NULL,none,suppress
paraphrase_food_safety_068_near_miss,NULL,none,suppress
paraphrase_food_safety_069_near_miss,NULL,none,suppress
paraphrase_food_safety_070_near_miss,NULL,none,suppress
paraphrase_food_safety_071_near_miss,NULL,none,suppress
paraphrase_food_safety_072_near_miss,NULL,none,suppress
paraphrase_code_security_073_near_miss,NULL,none,suppress
paraphrase_code_security_074_near_miss,NULL,none,suppress
paraphrase_code_security_075_near_miss,NULL,none,suppress
paraphrase_code_security_076_near_miss,NULL,none,suppress
paraphrase_code_security_077_near_miss,NULL,none,suppress
paraphrase_code_security_078_near_miss,NULL,none,suppress
paraphrase_code_security_079_near_miss,NULL,none,suppress
paraphrase_code_security_080_near_miss,NULL,none,suppress
