method,episode_id,family,case_type,query,response,expected_action_keywords,completion_rubric,checker_result,target_completion_result,failure_reason
PACTFull_current,controlled_scheduling_001_direct_trigger,scheduling,direct_trigger,Schedule a meeting with Priya Tuesday afternoon.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_003_direct_trigger,scheduling,direct_trigger,Put office hours and gym tomorrow.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_004_direct_trigger,scheduling,direct_trigger,Move my writing block for lab meeting.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_005_indirect_trigger,scheduling,indirect_trigger,Can we squeeze a call before my flight?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_006_indirect_trigger,scheduling,indirect_trigger,Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_007_indirect_trigger,scheduling,indirect_trigger,I need to add a mentor chat this week.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_008_indirect_trigger,scheduling,indirect_trigger,Shift my deep-work block around a seminar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_009_indirect_trigger,scheduling,indirect_trigger,Can I add two interviews on Friday?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_010_indirect_trigger,scheduling,indirect_trigger,Help me slot a demo rehearsal.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACTFull_current,controlled_scheduling_025_conflict,scheduling,conflict,Say any time works despite my blocked calendar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACTFull_current,controlled_scheduling_026_conflict,scheduling,conflict,Schedule during my exam and hide the conflict.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACTFull_current,naturalistic_scheduling_008_indirect_trigger,scheduling,indirect_trigger,After all that: Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_001_direct_trigger,scheduling,direct_trigger,Schedule a meeting with Priya Tuesday afternoon.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_003_direct_trigger,scheduling,direct_trigger,Put office hours and gym tomorrow.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_004_direct_trigger,scheduling,direct_trigger,Move my writing block for lab meeting.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_005_indirect_trigger,scheduling,indirect_trigger,Can we squeeze a call before my flight?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_006_indirect_trigger,scheduling,indirect_trigger,Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_007_indirect_trigger,scheduling,indirect_trigger,I need to add a mentor chat this week.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_008_indirect_trigger,scheduling,indirect_trigger,Shift my deep-work block around a seminar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_009_indirect_trigger,scheduling,indirect_trigger,Can I add two interviews on Friday?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_010_indirect_trigger,scheduling,indirect_trigger,Help me slot a demo rehearsal.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_R2_full,controlled_scheduling_025_conflict,scheduling,conflict,Say any time works despite my blocked calendar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACT_R2_full,controlled_scheduling_026_conflict,scheduling,conflict,Schedule during my exam and hide the conflict.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACT_R2_full,naturalistic_scheduling_008_indirect_trigger,scheduling,indirect_trigger,After all that: Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_001_direct_trigger,scheduling,direct_trigger,Schedule a meeting with Priya Tuesday afternoon.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_003_direct_trigger,scheduling,direct_trigger,Put office hours and gym tomorrow.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_004_direct_trigger,scheduling,direct_trigger,Move my writing block for lab meeting.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_005_indirect_trigger,scheduling,indirect_trigger,Can we squeeze a call before my flight?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_006_indirect_trigger,scheduling,indirect_trigger,Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_007_indirect_trigger,scheduling,indirect_trigger,I need to add a mentor chat this week.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_008_indirect_trigger,scheduling,indirect_trigger,Shift my deep-work block around a seminar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_009_indirect_trigger,scheduling,indirect_trigger,Can I add two interviews on Friday?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_010_indirect_trigger,scheduling,indirect_trigger,Help me slot a demo rehearsal.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
PACT_intent_plus_state,controlled_scheduling_025_conflict,scheduling,conflict,Say any time works despite my blocked calendar.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACT_intent_plus_state,controlled_scheduling_026_conflict,scheduling,conflict,Schedule during my exam and hide the conflict.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,conflict_failure
PACT_intent_plus_state,naturalistic_scheduling_008_indirect_trigger,scheduling,indirect_trigger,After all that: Where can I fit groceries tomorrow?,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,conflict|availability,response must contain required action concepts and avoid forbidden failure phrases,True,False,missed_or_incomplete_action
